id_blob,id_person,id_website,id_question,spray_number,lat,lng,time_blob,zoom
34597670,124550,1448,23278,1,44.04803466796875,-123.05171966552734,1776809270146,12
34597671,124537,1448,23278,1,44.04473876953125,-123.07975006103516,1776809259813,14
34597672,124537,1448,23278,1,44.0445671081543,-123.07974243164062,1776809259826,14
34597673,124548,1448,23278,1,44.073097229003906,-123.08193969726562,1776809269763,13
34597674,124548,1448,23278,1,44.07282638549805,-123.08047485351562,1776809269776,13
34597675,124537,1448,23278,1,44.0446662902832,-123.08065795898438,1776809259839,14
34597676,124537,1448,23278,1,44.04477310180664,-123.08052825927734,1776809259865,14
34597677,124537,1448,23278,1,44.04473876953125,-123.08047485351562,1776809259852,14
34602483,124548,1448,23278,1,44.04673385620117,-123.09912872314453,1776809278336,13
34597679,124536,1448,23278,1,44.07978820800781,-123.04914093017578,1776809253370,13
34597680,124536,1448,23278,1,44.081424713134766,-123.05162811279297,1776809253400,13
34597681,124536,1448,23278,1,44.081275939941406,-123.05117797851562,1776809253413,13
34597682,124536,1448,23278,1,44.08123016357422,-123.05207824707031,1776809253426,13
34602482,124548,1448,23278,1,44.04474639892578,-123.09925079345703,1776809278349,13
34597684,124538,1448,23278,1,44.037288665771484,-123.08364868164062,1776809270556,15
34597685,124537,1448,23278,1,44.044864654541016,-123.08094024658203,1776809259880,14
34597686,124541,1448,23278,1,44.049659729003906,-123.10202026367188,1776809267842,15
34597687,124548,1448,23278,1,44.073673248291016,-123.08258056640625,1776809269788,13
34602481,124538,1448,23278,1,44.03595733642578,-123.08963012695312,1776809284390,15
34599372,124548,1448,23278,1,44.06327438354492,-123.10255432128906,1776809272244,13
34599371,124547,1448,23278,1,44.04037094116211,-123.08412170410156,1776809272971,15
34599370,124550,1448,23278,1,44.04789733886719,-123.09378051757812,1776809272321,12
34597692,124548,1448,23278,1,44.07286834716797,-123.08255004882812,1776809269800,13
34599369,124537,1448,23278,1,44.04825210571289,-123.0863037109375,1776809262576,14
34606571,124545,1448,23279,1,44.09454345703125,-123.07958221435547,1776809295663,12
34606570,124545,1448,23279,1,44.0946044921875,-123.07878875732422,1776809295654,12
34597696,124541,1448,23278,1,44.04988098144531,-123.10160064697266,1776809267859,15
34597697,124541,1448,23278,1,44.05073928833008,-123.10136413574219,1776809267875,15
34599367,124548,1448,23278,1,44.0633659362793,-123.10382843017578,1776809272220,13
34597699,124538,1448,23278,1,44.03742980957031,-123.0837173461914,1776809270585,15
34597700,124548,1448,23278,1,44.07284164428711,-123.08303833007812,1776809269826,13
34597701,124548,1448,23278,1,44.0717658996582,-123.08294677734375,1776809269813,13
34602479,124546,1448,23278,1,44.04647445678711,-123.09683990478516,1776809281182,15
34597703,124550,1448,23278,1,44.04570007324219,-123.05152893066406,1776809270158,12
34597704,124547,1448,23278,1,44.05117416381836,-123.08613586425781,1776809270680,15
34597705,124541,1448,23278,1,44.05111312866211,-123.10125732421875,1776809267891,15
34597706,124547,1448,23278,1,44.0509033203125,-123.08580017089844,1776809270693,15
34597707,124550,1448,23278,1,44.04652786254883,-123.05182647705078,1776809270170,12
34602478,124538,1448,23278,1,44.03596878051758,-123.08936309814453,1776809284353,15
34597709,124550,1448,23278,1,44.04655456542969,-123.05155181884766,1776809270183,12
34597710,124541,1448,23278,1,44.051597595214844,-123.10111236572266,1776809267909,15
34597711,124541,1448,23278,1,44.05229187011719,-123.10126495361328,1776809267925,15
34597712,124547,1448,23278,1,44.05097198486328,-123.08568572998047,1776809270706,15
34597713,124538,1448,23278,1,44.037391662597656,-123.08358764648438,1776809270600,15
34597714,124538,1448,23278,1,44.03755569458008,-123.08342742919922,1776809270639,15
34597715,124538,1448,23278,1,44.03744888305664,-123.0836410522461,1776809270681,15
34597716,124550,1448,23278,1,44.044532775878906,-123.05198669433594,1776809270195,12
34597717,124547,1448,23278,1,44.05097579956055,-123.08515167236328,1776809270719,15
34597718,124547,1448,23278,1,44.05077362060547,-123.08490753173828,1776809270732,15
34597719,124550,1448,23278,1,44.046878814697266,-123.05178833007812,1776809270207,12
34597720,124547,1448,23278,1,44.05068588256836,-123.08509063720703,1776809270745,15
34597721,124550,1448,23278,1,44.044429779052734,-123.05231475830078,1776809270220,12
34597722,124537,1448,23278,1,44.044708251953125,-123.08055877685547,1776809259893,14
34597723,124538,1448,23278,1,44.03782272338867,-123.0836410522461,1776809270693,15
34597724,124537,1448,23278,1,44.044891357421875,-123.08075714111328,1776809259913,14
34597725,124537,1448,23278,1,44.04497146606445,-123.0804672241211,1776809259926,14
34597726,124548,1448,23278,1,44.072532653808594,-123.08424377441406,1776809269838,13
34597727,124537,1448,23278,1,44.04526901245117,-123.08026885986328,1776809259939,14
34597728,124537,1448,23278,1,44.04487228393555,-123.08070373535156,1776809259952,14
34597729,124548,1448,23278,1,44.07319259643555,-123.08270263671875,1776809269851,13
34603516,124537,1448,23278,1,44.04472732543945,-123.09333038330078,1776809269983,14
34597731,124536,1448,23278,1,44.08136749267578,-123.05247497558594,1776809253442,13
34597732,124536,1448,23278,1,44.082435607910156,-123.0530014038086,1776809253474,13
34597733,124536,1448,23278,1,44.082637786865234,-123.05331420898438,1776809253486,13
34602476,124546,1448,23278,1,44.0463981628418,-123.09683990478516,1776809281165,15
34597735,124548,1448,23278,1,44.07283401489258,-123.08353424072266,1776809269876,13
34597736,124537,1448,23278,1,44.04494857788086,-123.0808334350586,1776809259964,14
34597737,124536,1448,23278,1,44.082183837890625,-123.05368041992188,1776809253520,13
34597738,124548,1448,23278,1,44.07292175292969,-123.08345794677734,1776809269864,13
34597739,124538,1448,23278,1,44.037620544433594,-123.08318328857422,1776809270719,15
34597740,124541,1448,23278,1,44.052433013916016,-123.10111236572266,1776809267942,15
34603515,124548,1448,23278,1,44.04108428955078,-123.08979034423828,1776809280049,13
34599366,124548,1448,23278,1,44.06390380859375,-123.10427856445312,1776809272232,13
34608561,124546,1448,23278,1,44.04926300048828,-123.0998306274414,1776809291187,15
34606568,124545,1448,23279,1,44.095035552978516,-123.0812759399414,1776809295638,12
34606567,124545,1448,23279,1,44.09672927856445,-123.08126068115234,1776809295651,12
34599363,124548,1448,23278,1,44.06404495239258,-123.1028823852539,1776809272207,13
34599362,124537,1448,23278,1,44.04856491088867,-123.08617401123047,1776809262564,14
34597748,124548,1448,23278,1,44.0732307434082,-123.08248138427734,1776809269888,13
34597749,124548,1448,23278,1,44.07279968261719,-123.08533477783203,1776809269901,13
34597750,124541,1448,23278,1,44.05244445800781,-123.10123443603516,1776809267958,15
34597751,124541,1448,23278,1,44.05287170410156,-123.10185241699219,1776809267975,15
34599361,124538,1448,23278,1,44.04011154174805,-123.0896987915039,1776809275381,15
34597753,124538,1448,23278,1,44.037715911865234,-123.08319854736328,1776809270747,15
34602473,124536,1448,23278,1,44.07667541503906,-123.081298828125,1776809267129,13
34597755,124550,1448,23278,1,44.04396057128906,-123.05233001708984,1776809270232,12
34597756,124547,1448,23278,1,44.050498962402344,-123.08515167236328,1776809270758,15
34597757,124550,1448,23278,1,44.044273376464844,-123.05098724365234,1776809270244,12
34597758,124547,1448,23278,1,44.0505485534668,-123.08470916748047,1776809270770,15
34597759,124541,1448,23278,1,44.052696228027344,-123.1017074584961,1776809267992,15
34606566,124545,1448,23279,1,44.09392166137695,-123.0822982788086,1776809295642,12
34597761,124550,1448,23278,1,44.0443115234375,-123.0544204711914,1776809270257,12
34597762,124541,1448,23278,1,44.05281066894531,-123.1017837524414,1776809268009,15
34597763,124541,1448,23278,1,44.05292892456055,-123.10191345214844,1776809268025,15
34597764,124547,1448,23278,1,44.0508918762207,-123.08473205566406,1776809270783,15
34597765,124538,1448,23278,1,44.03788757324219,-123.08355712890625,1776809270770,15
34597766,124538,1448,23278,1,44.03769302368164,-123.08375549316406,1776809270799,15
34597767,124538,1448,23278,1,44.03779983520508,-123.08358001708984,1776809270815,15
34597768,124550,1448,23278,1,44.04214096069336,-123.05335998535156,1776809270269,12
34597769,124547,1448,23278,1,44.05058670043945,-123.08487701416016,1776809270797,15
34597770,124547,1448,23278,1,44.05032730102539,-123.08493041992188,1776809270809,15
34597771,124550,1448,23278,1,44.04165267944336,-123.05680084228516,1776809270281,12
34597772,124547,1448,23278,1,44.05036163330078,-123.08435821533203,1776809270822,15
34597773,124550,1448,23278,1,44.04250717163086,-123.0528564453125,1776809270294,12
34597774,124537,1448,23278,1,44.04553985595703,-123.0811538696289,1776809259980,14
34597775,124538,1448,23278,1,44.03797149658203,-123.08345031738281,1776809270836,15
34597776,124537,1448,23278,1,44.044708251953125,-123.08056640625,1776809259992,14
34597777,124537,1448,23278,1,44.045372009277344,-123.08136749267578,1776809260006,14
34597778,124537,1448,23278,1,44.045284271240234,-123.08072662353516,1776809260018,14
34597779,124537,1448,23278,1,44.04510498046875,-123.08133697509766,1776809260031,14
34597780,124548,1448,23278,1,44.07346725463867,-123.08248901367188,1776809269913,13
34602471,124550,1448,23278,1,44.06740188598633,-123.0523452758789,1776809276688,12
34597782,124548,1448,23278,1,44.07320785522461,-123.08403778076172,1776809269925,13
34597783,124536,1448,23278,1,44.082237243652344,-123.05399322509766,1776809253550,13
34597784,124548,1448,23278,1,44.07271194458008,-123.08448028564453,1776809269937,13
34597785,124548,1448,23278,1,44.073150634765625,-123.08463287353516,1776809269949,13
34606565,124545,1448,23279,1,44.09542465209961,-123.07991790771484,1776809295629,12
34597787,124537,1448,23278,1,44.045166015625,-123.08185577392578,1776809260047,14
34597788,124548,1448,23278,1,44.073822021484375,-123.08317565917969,1776809269962,13
34597789,124536,1448,23278,1,44.084083557128906,-123.05403900146484,1776809253563,13
34597790,124548,1448,23278,1,44.07221221923828,-123.08592224121094,1776809269974,13
34597791,124541,1448,23278,1,44.0532112121582,-123.10182189941406,1776809268042,15
34603872,124540,1448,23279,1,44.070159912109375,-123.14987182617188,1776809288691,14
34599360,124547,1448,23278,1,44.040496826171875,-123.08342742919922,1776809272955,15
34599359,124538,1448,23278,1,44.03982925415039,-123.08979034423828,1776809275360,15
34597795,124538,1448,23278,1,44.037879943847656,-123.0835189819336,1776809270875,15
34606564,124532,1448,23278,1,44.0418586730957,-123.0906982421875,1776809295819,12
34599358,124547,1448,23278,1,44.040283203125,-123.08200073242188,1776809272942,15
34599357,124547,1448,23278,1,44.04069519042969,-123.08179473876953,1776809272930,15
34602467,124546,1448,23278,1,44.04676055908203,-123.0968017578125,1776809281149,15
34597800,124541,1448,23278,1,44.053138732910156,-123.10172271728516,1776809268058,15
34599355,124550,1448,23278,1,44.045188903808594,-123.09236145019531,1776809272309,12
